E,L,M,S,R,H,A,Y
Chihuahua,76.8737644,0,1.739091329,-0.069729971,14.63179153,0,-6.347748467
Chihuahua,58.06737912,0,0.523298323,0.787730034,7.453356931,1,12.81942412
Chihuahua,71.66910169,0,6.295391247,-0.368034092,11.55250336,0,0.657209667
Chihuahua,83.81709871,0,3.752425006,-3.078403038,11.6811064,0,3.93986855
Chihuahua,59.16160734,0,1.78461318,-0.845765164,10.72483099,0,-12.28179324
Chihuahua,42.85542725,0,-1.189180906,-0.092283478,10.55412021,0,8.453615058
Chihuahua,100,0,-0.577817821,5.632765244,4.864591697,0,-5.262551403
Chihuahua,68.89043564,0,-0.777970191,-1.668261728,5.073108102,0,0.917346176
Chihuahua,50.37686463,0,3.597955253,1.902320024,17.25442173,1,2.552215338
Chihuahua,52.02965526,0,3.880306006,2.344562779,9.75406188,0,-2.462864524
Chihuahua,26.06572305,1,-0.087389645,1.111406548,18.22148381,1,-0.889455912
Chihuahua,62.73894536,0,0.670038483,0.309227954,6.844376096,0,2.54651886
Chihuahua,76.8999178,0,2.426224414,2.643332942,4.757949604,0,-14.03223841
Chihuahua,58.85056227,0,1.710461301,-6.371189331,9.415950509,0,-13.37175935
Chihuahua,82.42006721,0,1.474336664,-1.196863267,8.283064951,0,9.441254572
Chihuahua,83.52282605,0,5.424623966,-0.357574845,8.606906865,1,-9.176741929
Chihuahua,68.13810268,0,-2.402276833,2.273568128,9.201435109,0,-0.667599367
Chihuahua,72.0734219,0,-3.053083087,0.721116045,6.302733426,0,-1.794481838
Chihuahua,40.31887639,1,1.408509447,0.361520632,15.82807858,0,11.80379742
Chihuahua,72.36663732,0,3.968475075,-3.508821638,27.93818979,0,13.41698176
Chihuahua,81.23493217,0,-0.461102922,1.174353608,23.8274895,0,-4.055736478
Chihuahua,64.80529035,0,2.064702092,3.015992866,15.37294138,0,1.749238307
Chihuahua,84.2764137,0,-0.047470724,0.818851173,7.276991713,0,-12.05234077
Chihuahua,44.60306597,0,0.159714814,1.284805663,16.90693464,0,6.792125783
Chihuahua,50.05544454,0,-4.24858897,-1.807729609,20.05601982,0,12.34498147
Chihuahua,53.04789706,1,7.362477834,2.897847511,16.78327494,1,-0.055135312
Chihuahua,85.5970225,0,2.812957104,3.981263389,10.30294704,1,-24.4381511
Chihuahua,65.34696768,0,3.70672103,1.372235925,11.67681225,0,11.52145479
Chihuahua,51.31572096,0,-0.39819852,0.934956309,13.95773935,0,-6.244768556
Chihuahua,85.18122674,0,2.830601148,3.309724269,14.9160682,0,-0.923100839
Chihuahua,96.3623524,0,-4.06426824,7.367940365,5.788890025,0,-18.71450106
Chihuahua,73.39412541,0,5.135913874,1.584105632,3.713030018,0,-12.11424774
Chihuahua,50.81166092,0,-2.159701805,1.889353786,2.610880042,0,1.347822473
Chihuahua,47.85349293,0,2.638868907,1.651099826,5.909763295,0,5.813371801
Chihuahua,87.28579058,0,17.53569917,4.979250923,6.74904065,0,-35.67081645
Chihuahua,39.6136387,0,-0.893638811,-0.160871779,12.90122305,0,41.76532848
Chihuahua,77.7529133,0,2.013844151,0.500159392,37.59830611,0,-2.045216409
Chihuahua,95.05755203,0,3.643477585,1.834760608,11.64397671,0,-9.921817478
Chihuahua,70.04038026,0,3.954882141,-4.528556482,17.80550723,0,11.4810859
Chihuahua,80.89696787,0,2.633283788,-1.671574848,10.35790657,0,8.739793751
Chihuahua,76.6851093,0,0.940056797,3.181001755,8.552214438,0,-1.456680536
Nuevo Leon,45.8015351,0,5.190932311,0.776008031,5.480428109,0,15.79901777
Nuevo Leon,72.83076512,0,0.387949149,0.249259059,6.392198036,0,-1.67858202
Nuevo Leon,100,0,-3.801477425,2.141131151,19.75432211,0,-15.50569854
Nuevo Leon,38.75738852,0,3.353010853,-5.482640702,10.11295565,0,29.54073254
Nuevo Leon,59.50640535,0,-0.18280845,-3.103110498,12.15522545,1,-6.267346579
Nuevo Leon,27.16332739,1,2.438094044,0.79535099,15.73754724,0,4.138252579
Nuevo Leon,82.24501341,0,-0.978698245,0.44227166,9.660367901,0,-14.27506334
Nuevo Leon,64.0170568,0,0.226687857,1.086560267,5.95096331,0,10.86375172
Nuevo Leon,44.10187892,1,0.876214471,0.638326508,18.03260409,0,-7.520080523
Nuevo Leon,41.32665992,0,-15.28006994,13.62908291,14.82967701,0,0.852606261
